match_id,gender,season,start_date,venue,innings,ball,ball_no,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,runs,runs_sum,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,wicket,wicket_sum,partnership_number,innings_runs,innings_wickets,innings_balls,balls_faced,partnership_length,runs_scored,partnership_score,ball_no_start,partnership_start,current_run_rate,rr_start,partnership_rr_start,target,balls_completed,balls_remaining,required_run_rate,required_rr_start,partnership_required_rr_start
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,9.1,49,Manchester_Originals_women,Oval_Invincibles_women,GEB Boyce,L Lee,MK Villiers,1,0,,,,,,1,58,,,,,0,1,2,,,,41,,54,,9,,7.6,3.428571429,,,46,54,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,9.2,50,Manchester_Originals_women,Oval_Invincibles_women,L Lee,GEB Boyce,MK Villiers,1,0,,,,,,1,59,,,,,0,1,2,,,,42,,55,,9,,7.565217391,3.428571429,,,47,53,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,9.3,51,Manchester_Originals_women,Oval_Invincibles_women,GEB Boyce,L Lee,MK Villiers,0,0,,,,,,0,59,caught,GEB Boyce,,,1,2,2,,,,43,43,55,55,9,9,7.531914894,3.428571429,3.428571429,,48,52,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,9.4,52,Manchester_Originals_women,Oval_Invincibles_women,H Kaur,L Lee,MK Villiers,0,0,,,,,,0,59,,,,,0,2,3,,,,1,,0,,52,,7.375,7.375,,,49,51,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,9.5,53,Manchester_Originals_women,Oval_Invincibles_women,H Kaur,L Lee,MK Villiers,0,0,,,,,,0,59,,,,,0,2,3,,,,2,,0,,52,,7.224489796,7.375,,,50,50,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,10.1,54,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,S Ismail,2,0,,,,,,2,61,,,,,0,2,3,,,,3,,2,,52,,7.08,7.375,,,51,49,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,10.2,55,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,S Ismail,1,0,,,,,,1,62,,,,,0,2,3,,,,4,,3,,52,,7.176470588,7.375,,,52,48,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,10.3,56,Manchester_Originals_women,Oval_Invincibles_women,H Kaur,L Lee,S Ismail,1,0,,,,,,1,63,,,,,0,2,3,,,,5,,4,,52,,7.153846154,7.375,,,53,47,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,10.4,57,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,S Ismail,4,0,,,,,,4,67,,,,,0,2,3,,,,6,,8,,52,,7.132075472,7.375,,,54,46,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,10.5,58,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,S Ismail,0,1,1,,,,,1,68,,,,,0,2,3,,,,7,,9,,52,,7.444444444,7.375,,,54,46,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,10.6,59,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,S Ismail,0,0,,,,,,0,68,,,,,0,2,3,,,,8,,9,,52,,7.555555556,7.375,,,55,45,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,11.1,60,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,D van Niekerk,0,0,,,,,,0,68,,,,,0,2,3,,,,9,,9,,52,,7.418181818,7.375,,,56,44,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,11.2,61,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,D van Niekerk,1,0,,,,,,1,69,,,,,0,2,3,,,,10,,10,,52,,7.285714286,7.375,,,57,43,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,11.3,62,Manchester_Originals_women,Oval_Invincibles_women,H Kaur,L Lee,D van Niekerk,1,0,,,,,,1,70,,,,,0,2,3,,,,11,,11,,52,,7.263157895,7.375,,,58,42,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,11.4,63,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,D van Niekerk,1,0,,,,,,1,71,,,,,0,2,3,,,,12,,12,,52,,7.24137931,7.375,,,59,41,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,11.5,64,Manchester_Originals_women,Oval_Invincibles_women,H Kaur,L Lee,D van Niekerk,4,0,,,,,,4,75,,,,,0,2,3,,,,13,,16,,52,,7.220338983,7.375,,,60,40,,,
1252700,women,2021,21/07/2021,"Kennington Oval, London",1,12.1,65,Manchester_Originals_women,Oval_Invincibles_women,L Lee,H Kaur,MK Villiers,1,0,,,,,,1,76,,,,,0,2,3,,,,14,,17,,52,,7.5,7.375,,,61,39,,,
